amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	customized-url	customized-page 
112-6746301-4813863	112-6746301-4813863	2019-10-25T20:48:04+00:00	2019-10-27T12:53:55+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Inflatable Bubble Bumper Soccer Ball for Kids and Adults, Giant Human Hamster Zorb Ball (Blue, 4 FT)"	MXC_PTO_07NVWIGX	B07WK58MBH		Shipped	3	USD	329.97	26.4							Westfield	New York	14787	US		Standard		
112-9281272-1721861	112-9281272-1721861	2019-10-25T20:41:48+00:00	2019-10-26T16:52:17+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.82							BRYAN	TX	77802-5680	US		Standard		
112-3610518-7960214	112-3610518-7960214	2019-10-25T20:36:53+00:00	2019-10-27T16:04:04+00:00	Shipped	Amazon	Amazon.com			Standard	"ThinkMax Money Maze Puzzle Box, Perfect Puzzle Money Holder and Brain Teasers for Kids and Adults (2 Pack)"	MX-PTO_027TBIWT	B07DC375Z3		Shipped	1	USD	14.99		3.74					3.74	FLINTSTONE	GA	30725-2587	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	Standard		
112-6556711-5990606	112-6556711-5990606	2019-10-25T20:11:12+00:00	2019-10-27T06:30:20+00:00	Shipped	Amazon	Amazon.com			SecondDay	"ThinkMax Cosplay Tie with Novelty Glasses Frame for Kids Teens, 4 Pieces Necktie Accessories for Halloween Chritsmas Party and Daily Use"	ZH-PTO_06ZEO185	B07VC8NN92		Shipped	1	USD	12.99								SAINT MICHAEL	MN	55376-8508	US		Standard		
114-1150875-6407418	114-1150875-6407418	2019-10-25T20:07:51+00:00	2019-10-26T04:27:56+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88								EASTPOINTE	MI	48021-1919	US		Standard		
114-6780520-7073811	114-6780520-7073811	2019-10-25T20:06:00+00:00	2019-10-27T05:22:14+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Baby Wrist Rattles, 8 Pcs Soft Animal Wrist Rattles and Foot Finders SockSet - Elephant, Monkey, Piggy and Puppy"	MX-PTO_023U2QWB	B07DC2R4XW		Shipped	1	USD	12.99	0.91							NORTH PLATTE	NE	69101-6218	US		Standard		
111-7648826-6347413	111-7648826-6347413	2019-10-25T20:02:33+00:00	2019-10-27T19:40:06+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Wrist Rattles for Babies, 4 Pieces Baby Wrist Rattle and Foot Rattles Finder Socks Monkey and Elephant Toys Set (Purple)"	MX-PH2122AD2G67	B079KTJT3C		Shipped	1	USD	9.99								WAKE FOREST	NC	27587-5258	US		Standard		
113-4033807-4043443	113-4033807-4043443	2019-10-25T19:25:23+00:00	2019-10-26T01:19:28+00:00	Shipped	Amazon	Amazon.com			Expedited	ThinkMax Money Maze Puzzle Box for Kids and Adults - Unique Way to Give Gifts for People You Love - Fun and Inexpensive Game Challenge for Children Bi	MX-PTO_00N3QEAV-FBA	B076985XVF		Shipped	1	USD	7.99	0.7							RIVERSIDE	CA	92503-5348	US		Standard		
111-7072045-8664269	111-7072045-8664269	2019-10-25T19:22:18+00:00	2019-10-26T16:07:17+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Halloween Spider Webs, 200 sqft Stretch Cobwebs with 24 Fake Spiders for Indoor Outdoor Halloween Decorations Party Supplies"	SZL-PTO_03BL8PI3	B07JB9NF24		Shipped	1	USD	7.99						6.39		KEENE	NH	03431-2910	US	Percentage Off 2019/10/24 1-18-36-335	Standard		
113-8784410-6975414	113-8784410-6975414	2019-10-25T19:11:29+00:00	2019-10-26T06:23:20+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Halloween Spider Webs, 200 sqft Stretch Cobwebs with 24 Fake Spiders for Indoor Outdoor Halloween Decorations Party Supplies"	SZL-PTO_03BL8PI3	B07JB9NF24		Shipped	1	USD	7.99						6.39		DEWITT	MI	48820-8620	US	Percentage Off 2019/10/24 1-18-36-335	Standard		
111-9922604-7102661	111-9922604-7102661	2019-10-25T19:04:13+00:00	2019-10-26T07:31:38+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88								BERWYN	IL	60402-3507	US		Standard		
114-8295585-9469025	114-8295585-9469025	2019-10-25T19:02:32+00:00	2019-10-28T00:59:59+00:00	Pending	Amazon	Amazon.com			Standard	"ThinkMax 4 Pcs Children Wooden Jigsaw Pegged Puzzle Board Toy Educational and Learning Puzzles Toy - Number, Vegetable, Village and Animal"	MX-320-TO2122H334M1-FBA	B01N1EJHPZ		Unshipped	2	USD	31.98								Charlotte	NC	28205	US		Standard		
113-0241736-9839453	113-0241736-9839453	2019-10-25T19:02:09+00:00	2019-10-26T07:23:29+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax 4 Pcs Children Wooden Jigsaw Pegged Puzzle Board Toy Educational and Learning Puzzles Toy - Number, Vegetable, Village and Animal"	MX-320-TO2122H334M1-FBA	B01N1EJHPZ		Shipped	1	USD	15.99	1.24							POWAY	CA	92064-2268	US		Standard		
114-6558105-5105845	114-6558105-5105845	2019-10-25T18:51:49+00:00	2019-10-27T08:37:03+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Baby Wrist Rattles, 8 Pcs Soft Animal Wrist Rattles and Foot Finders SockSet - Elephant, Monkey, Piggy and Puppy"	MX-PTO_023U2QWB	B07DC2R4XW		Shipped	1	USD	12.99								HENDERSONVILLE	NC	28792-4102	US		Standard		
111-5152956-9765841	111-5152956-9765841	2019-10-25T18:50:17+00:00	2019-10-26T21:37:18+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P24TRK	B079KFHHRC		Shipped	1	USD	12.84	1.11							EAST NORTHPORT	NY	11731-3002	US		Standard		
114-5072020-3148256	114-5072020-3148256	2019-10-25T18:46:11+00:00	2019-10-27T16:26:10+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88								ROCKVILLE	MD	20850-3827	US		Standard		
112-3790780-4554604	112-3790780-4554604	2019-10-25T18:45:55+00:00	2019-10-25T23:44:40+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Halloween Spider Webs, 200 sqft Stretch Cobwebs with 24 Fake Spiders for Indoor Outdoor Halloween Decorations Party Supplies"	SZL-PTO_03BL8PI3	B07JB9NF24		Shipped	1	USD	7.99	0.13					6.39		TOMBALL	TEXAS	77375-5134	US	Percentage Off 2019/10/24 1-18-36-335	Standard		
